workerCounter,assignmentId,workerId,hitId,trial type,set,global index,reaction time,response1,response2,responseLoc1,responseLoc2,stimulus1,stimulus2,stimulus3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,112,2380,2,5,2,1,4,5,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,113,2046,5,6,1,2,2,5,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,114,4299,6,2,0,2,6,7,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,115,4320,2,7,0,1,2,7,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,116,1716,1,5,1,2,4,1,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,117,2297,1,5,1,2,7,1,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,118,2540,7,3,2,0,3,1,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,119,2487,7,4,1,2,5,7,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,120,2281,4,3,2,1,1,3,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,121,2056,4,3,1,2,5,4,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,122,3314,7,3,2,1,6,3,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,123,1856,4,2,1,2,6,4,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,124,2169,7,3,1,0,3,7,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,125,1784,6,5,1,0,5,6,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,126,2162,6,5,2,1,1,5,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,127,2076,1,6,1,2,3,1,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,128,2123,3,4,0,2,3,2,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,129,2100,2,1,2,0,1,3,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,130,2209,5,1,2,0,1,3,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,131,2243,2,6,2,0,6,1,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,132,1514,2,1,0,2,2,7,1
